Language,Title,Genre,Premiere,Runtime,IMDB Score
Hindi,33,33,33,33,33
Spanish,31,31,31,31,31
French,20,20,20,20,20
Italian,14,14,14,14,14
Portuguese,12,12,12,12,12
Indonesian,9,9,9,9,9
Korean,6,6,6,6,6
Japanese,6,6,6,6,6
German,5,5,5,5,5
Turkish,5,5,5,5,5
English/Spanish,5,5,5,5,5
Dutch,3,3,3,3,3
Marathi,3,3,3,3,3
Polish,3,3,3,3,3
Filipino,2,2,2,2,2
Thai,2,2,2,2,2
English/Mandarin,2,2,2,2,2
English/Japanese,2,2,2,2,2
English/Hindi,2,2,2,2,2
Tamil,1,1,1,1,1
English/Akan,1,1,1,1,1
Swedish,1,1,1,1,1
Spanish/English,1,1,1,1,1
Spanish/Catalan,1,1,1,1,1
Thia/English,1,1,1,1,1
Spanish/Basque,1,1,1,1,1
English/Swedish,1,1,1,1,1
Malay,1,1,1,1,1
English/Arabic,1,1,1,1,1
Norwegian,1,1,1,1,1
English/Taiwanese/Mandarin,1,1,1,1,1
Khmer/English/French,1,1,1,1,1
English/Korean,1,1,1,1,1
English/Russian,1,1,1,1,1
Georgian,1,1,1,1,1
English/Ukranian/Russian,1,1,1,1,1
Bengali,1,1,1,1,1
